hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
Paulistano2023R10 Score Vasco da Gama2023,Paulistano2023R10 Score Vasco da Gama20232,2023-06-18,2,2023,Paulistano2023,R10 Score Vasco da Gama2023,17,18,2,10,4,8,3,7,12,13,1,4,2,9,5,8,24.08,20.52,22.299999999999997,17,12,5,29,15,10.0
Paulistano2023R10 Score Vasco da Gama2023,Paulistano2023R10 Score Vasco da Gama20233,2023-06-18,3,2023,Paulistano2023,R10 Score Vasco da Gama2023,24,16,2,5,6,11,6,8,14,14,1,6,5,8,1,4,24.52,20.759999999999998,22.64,24,14,10,38,25,15.0
Paulistano2023R10 Score Vasco da Gama2023,Paulistano2023R10 Score Vasco da Gama20234,2023-06-18,4,2023,Paulistano2023,R10 Score Vasco da Gama2023,11,12,0,5,5,7,1,3,12,17,2,5,3,12,0,2,13.32,19.88,16.6,11,12,-1,23,24,25.0
Paulistano2023R10 Score Vasco da Gama2023,Paulistano2023R10 Score Vasco da Gama2023Final,2023-06-18,Final,2023,Paulistano2023,R10 Score Vasco da Gama2023,80,64,5,28,24,36,17,30,56,60,6,25,15,35,8,17,79.2,81.48,80.34,80,56,24,136,48,
Corinthians2023Rio Claro Basquete2023,Corinthians2023Rio Claro Basquete20231,2023-06-18,1,2023,Corinthians2023,Rio Claro Basquete2023,22,21,2,9,7,12,2,3,16,19,2,6,4,13,2,2,21.32,24.88,23.1,22,16,6,38,6,0.0
Corinthians2023Rio Claro Basquete2023,Corinthians2023Rio Claro Basquete20232,2023-06-18,2,2023,Corinthians2023,Rio Claro Basquete2023,21,20,0,10,7,10,7,12,11,16,1,9,3,7,2,2,25.28,22.88,24.08,21,11,10,32,16,6.0
Corinthians2023Rio Claro Basquete2023,Corinthians2023Rio Claro Basquete20233,2023-06-18,3,2023,Corinthians2023,Rio Claro Basquete2023,27,18,4,11,5,7,5,5,16,19,0,5,7,14,2,3,21.2,23.32,22.259999999999998,27,16,11,43,27,16.0
Corinthians2023Rio Claro Basquete2023,Corinthians2023Rio Claro Basquete20234,2023-06-18,4,2023,Corinthians2023,Rio Claro Basquete2023,26,23,4,11,6,12,2,7,13,17,0,4,5,13,3,4,22.08,21.76,21.92,26,13,13,39,40,27.0
Corinthians2023Rio Claro Basquete2023,Corinthians2023Rio Claro Basquete2023Final,2023-06-18,Final,2023,Corinthians2023,Rio Claro Basquete2023,96,82,10,41,25,41,16,27,56,71,3,24,19,47,9,11,86.88,91.84,89.36,96,56,40,152,80,
SESI Franca2023São Paulo FC2023,SESI Franca2023São Paulo FC20231,2023-06-18,1,2023,SESI Franca2023,São Paulo FC2023,16,18,2,6,4,12,2,4,17,15,2,5,4,10,3,4,20.76,18.76,19.76,16,17,-1,33,-1,0.0
