event_id,date,home_team,away_team,home_q1,away_q1,home_ot1,away_ot1,home_ot2,away_ot2,home_final,away_final
8403435,2024-06-26 13:30:00,Paulistano U22,Mogi Basquete LDB U22,10,12,61,47,,,61,47
8403233,2024-06-26 11:30:00,Unifacisa LDB U22,Minas LDB U22,12,28,48,90,,,48,90
8403221,2024-06-26 11:15:00,Pinheiros U22,LDPG U22,25,14,79,70,,,79,70
8403108,2024-06-26 09:00:00,IVV/CETAF LDB U22,Cruzeiro LDB U22,13,22,46,82,,,46,82
8397343,2024-06-25 19:30:00,Sao Jose U22,Botafogo RJ U22,15,18,70,72,,,70,72
8392724,2024-06-25 19:30:00,Pato Basquete LDB U22,Caxias do Sul LDB U22,17,21,9,10,92,93,92,93
8397342,2024-06-25 17:15:00,Vasco da Gama/Tijuca LDB U22,Flamengo U22,13,18,65,71,,,65,71
8392596,2024-06-25 17:15:00,Soc. Thalia/SMEIJ LDB U22,Campo Mourao LDB U22,20,21,82,65,,,82,65
8397344,2024-06-25 15:00:00,Franca U22,Uniao Corinthians LDB U22,11,9,59,50,,,59,50
8392501,2024-06-25 15:00:00,ADRM/Maringa LDB U22,Sao Paulo LDB U22,21,24,65,104,,,65,104
8394873,2024-06-25 13:45:00,Minas LDB U22,Cerrado Basquete LDB U22,13,19,89,79,,,89,79
8394838,2024-06-25 13:30:00,LDPG U22,Paulistano U22,15,22,70,82,,,70,82
8394794,2024-06-25 11:30:00,Bauru LDB U22,Unifacisa LDB U22,27,12,89,40,,,89,40
8394776,2024-06-25 11:15:00,Pinheiros U22,IVV/CETAF LDB U22,15,11,82,43,,,82,43
8394777,2024-06-25 09:00:00,Mogi Basquete LDB U22,Cruzeiro LDB U22,24,11,88,79,,,88,79
8388933,2024-06-24 19:30:00,Flamengo U22,Sao Jose U22,17,19,80,79,,,80,79
8388835,2024-06-24 17:15:00,Uniao Corinthians LDB U22,Vasco da Gama/Tijuca LDB U22,19,21,54,76,,,54,76
8388814,2024-06-24 15:00:00,Botafogo RJ U22,Franca U22,11,16,73,80,,,73,80
8388813,2024-06-23 19:30:00,Pato Basquete LDB U22,Campo Mourao LDB U22,17,15,70,58,,,70,58
8388706,2024-06-23 17:15:00,ADRM/Maringa LDB U22,Soc. Thalia/SMEIJ LDB U22,20,30,68,99,,,68,99
8388705,2024-06-23 15:00:00,Caxias do Sul LDB U22,Corinthians U22,15,9,76,85,,,76,85
8382885,2024-06-22 19:30:00,Flamengo U22,Botafogo RJ U22,19,21,84,73,,,84,73
8382815,2024-06-22 17:15:00,Vasco da Gama/Tijuca LDB U22,Franca U22,13,22,70,76,,,70,76
8382688,2024-06-22 17:15:00,Caxias do Sul LDB U22,Sao Paulo LDB U22,22,31,82,83,,,82,83
8382675,2024-06-22 15:00:00,Uniao Corinthians LDB U22,Sao Jose U22,13,25,50,107,,,50,107
8382611,2024-06-22 15:00:00,Corinthians U22,ADRM/Maringa LDB U22,21,9,92,64,,,92,64
7160626,2023-09-03 19:00:00,Franca U22,Paulistano U22,14,10,69,70,,,69,70
7160458,2023-09-03 16:45:00,Pinheiros U22,Corinthians U22,21,17,74,67,,,74,67
7160457,2023-09-03 14:30:00,Minas LDB U22,Sao Jose U22,6,29,65,75,,,65,75
7160456,2023-09-03 12:15:00,Caxias do Sul LDB U22,Praia Clube/Gabarito LDB U22,14,16,69,65,,,69,65
7158397,2023-09-02 19:00:00,Corinthians U22,Paulistano U22,16,22,77,86,,,77,86
7156609,2023-09-02 16:45:00,Franca U22,Pinheiros U22,15,18,70,67,,,70,67
